"V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
2.5,0.5,2,-1,1,-1,0.5,1.5,0.5,-1.5
0,0,0.5,1,1.5,1,-1,1,1.5,-1
1.5,1,1,-1,0,-1.5,-1,-1,1,-1
0,0.5,-2,0,-1,1.5,-1.5,0,-2,-1.5
0,0,0,-0.5,0.5,1,-0.5,-0.5,0,0
1,-0.5,0,0,0,0.5,-1,1,-2,1
1,-1,-1,-1,0,1.5,0,1,0,0
0,-1.5,-0.5,1.5,0,0,0,-1,0.5,-0.5
-2,-1.5,1.5,1.5,0,0,0.5,1,0,1
-0.5,3.5,0,-1,-1.5,-1.5,-1,-1,1,0.5
0,1.5,0,0,2,-1.5,0.5,-0.5,2,-1
0,-2,-0.5,0,-0.5,2,1.5,0,0.5,-1
-1,-0.5,-0.5,-1,0,0.5,0.5,-1.5,-1,-1
0.5,1,-1,-0.5,-2,-1,-1.5,0,1.5,1.5
1,0,1.5,1.5,1,-1,0,1,-2,-1.5
